"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@adxb_whuut","AdibWhuut","Fucked up. I can’t forget her. Fucking stupid to dear self. Such a idiot adib such a dumb dumb","","1","2","1561642553000","Jun 27","/adxb_whuut/status/1144237917583228931","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@mad5679HARTEUU","madsss","literally flex, adib adib ka hahahahhaaha upgrading yo sense of humor?? no that's not funny ewiie","","","1","1561772453000","Jun 28","/mad5679HARTEUU/status/1144782758620749825","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@iraapareja","i","adib-adib to the highest point","","","1","1561729672000","Jun 28","/iraapareja/status/1144603322294263808","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@the_adib_james","Adobè","GETTING TO KNOW YOU

1. Mohamad Adib Zulhusni B Mohamad
2. Engineering electric electronic
3. 20 y/o
4. Udang dan sotong
5. None seeing
6. Yes
7. Im not that desperate
8. Duit jatuh dri langit pls
9. So so
10. Ice cream

Drop an emoji and I'll send you the questions","2","","9","1561767534000","Jun 28","/the_adib_james/status/1144762128991043588","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@julianw_writes","Julian Winters  🦁 🏳️‍🌈 👨🏾‍💻"," #Giveaway Alert

Everyone knows @adibkhorram's award-winning DARIUS THE GREAT IS NOT OKAY is one of my fav #YA books, ever. I have a signed copy (+ REMY/LIONS swag) to giveaway. RT and follow Adib by Sun (6/30) at 7PM ET for chance to win. US only. ","2","61","55","1561738914000","Jun 28","/julianw_writes/status/1144642087767498752","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@planetkasei","hikayat tikus sejati  🐀","real question.....what if adib is on twitter.........","","","2","1561786062000","Jun 28","/planetkasei/status/1144839837876252672","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@CorinaAmbrose","Carla 🌸","Istg Adib is one of the coolest ex i’ve ever met  He is just crazy as always bye","","","2","1561739741000","Jun 28","/CorinaAmbrose/status/1144645556641210368","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@Kugambikai","Phug Lyfe","Me el and adib in the class half the time: https://twitter.com/itssDarwinn/status/1076549697144307712/video/1 …","","","","1561696233000","Jun 27","/Kugambikai/status/1144463068623073280","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@ZuhairiNadzrin","Harry Zuhairi","Farewell dinner.. All the best Adib! #Colleagues","","","1","1561565128000","Jun 26","/ZuhairiNadzrin/status/1143913173428236288","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@DrMarkOng","Mark Ong"," Very impressed with your deductions and thought processes, Rola and Adib! I've managed to find some areas that were in focus (x10). x3 shows chondro-osseous component next to other parts of the tumour. x1.25 shows stomach adjacent to the ulcerated exophytic component. ","3","2","19","1561839345000","Jun 29","/DrMarkOng/status/1145063326067646464","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@_sshafiq","Shahrul Shafiq","*screenshot send to adib kamal

#meninggalbareng","","","1","1561822418000","Jun 29","/_sshafiq/status/1144992326843953152","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@zulyqhakifle","Kaka ✨","Hahahaha i am groot","1","","1","1561624092000","Jun 27","/zulyqhakifle/status/1144160487749214210","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@safwanasyidiq","uɐʍɟɐs","HAHAHAHAHHA so how?","1","","1","1561565309000","Jun 26","/safwanasyidiq/status/1143913935755730945","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AminMazelan","S.A.M","Thanks @adib_ozil
Kambing sedap ","1","","2","1561793029000","Jun 29","/AminMazelan/status/1144869059424444422","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@gialorise","ᷝ ͦ ͬ ͥ ᷤ ͤ","Happy birthday versus jan adib","1","","1","1561712193000","Jun 28","/gialorise/status/1144530010067226627","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AnnuarMusa","Annuar Musa","Could you please do the same for ADIB as well? ","","5","14","1561807128000","Jun 29","/AnnuarMusa/status/1144928197764513792","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@adib_azman","Mike Wazowski","Happy bird day bro","2","1","1","1561695689000","Jun 27","/adib_azman/status/1144460786250571778","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@Nabil_ori","NabilMeftah","Dont cry adib... ","","","1","1561595593000","Jun 26","/Nabil_ori/status/1144040955227492352","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@staronline","The Star","Adib inquest: Four new AG counsels to represent Housing Ministry, Bomba
http://www.thestar.com.my/news/nation/2019/06/26/adib-inquest-four-new-ag-counsels-to-represent-housing-ministry-bomba/ …","","2","5","1561523577000","Jun 25","/staronline/status/1143738897412718593","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@RandomSimonRule","Simon Maghakyan","Thank you for sharing. Here is the original investigation","","","4","1561508257000","Jun 25","/RandomSimonRule/status/1143674640088219648","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@adibmshri","mrxpresident","GETTING TO KNOW YOU.

1. Adib Mashuri
2. Applied math
3. 24
4. No
5. Mom
6. Mayb yes
7. No
8. “See you when I see you”
9. Absolutely yes!!
10. Msakan ibu
11. Single

Drop an emoji and I'll send you the questions.","5","1","9","1561724670000","Jun 28","/adibmshri/status/1144582341081255936","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@adib_abrar_1","Adib Abrar","Ever just be minding your own business and the door randomly shuts or something drops to the floor and you’re like, “must be the wind” but you know damn there ain’t no wind in a closed room and your ass is haunted?","","","3","1561830678000","Jun 29","/adib_abrar_1/status/1145026972960997377","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@christilyn_c","Pērsēphōnē","GETTING TO KNOW YOU

1. Colete, Christilyn A.
2. BS in Accountancy
3. 16
4. Allergic sa issue HAHAHAHAHA
5. Adib tyaka pp fish
6. yes???
7. Oo naman!!!
8. Wala eh HAHAHAHA
9. Siguro?
10. ICE CREAM!!!!

Like this and I'll send u the questions","","","11","1561798965000","Jun 29","/christilyn_c/status/1144893957458948096","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AidilIqmal99","YuTuBa","This tweet should be in par with Donald Trump's","1","","1","1561792152000","Jun 29","/AidilIqmal99/status/1144865381351227392","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@darrahsara","サラ𓃠","Yeah like a little. Bas ma nezlo","","","1","1561624051000","Jun 27","/darrahsara/status/1144160314914758656","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@hazwanrijan","Hzwn","@amirmukhliss adib dah unlock nude letter","1","","1","1561562600000","Jun 26","/hazwanrijan/status/1143902570349395968","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@malaya_roses","LordMalayaRoses","It shows one thing: no respect whatsoever towards #Adib ","","","1","1561802739000","Jun 29","/malaya_roses/status/1144909789211680774","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@KITonsite","KITonsite","Congratulations to my 2019 Graduate , my oldest son Abdus Salam Ibn Adib

I’m indeed so proud of you my son , my  — feeling proud at The International Preparatory School https://www.facebook.com/100000506990416/posts/3166424993384369/ …","","","","1561566018000","Jun 26","/KITonsite/status/1143916908497948672","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@DeannaRasyid","𝔡𝔢𝔞𝔫𝔫𝔞","first pic tu ada makeup sikit; eyebrows and maybe foundation/bedak sikit. both are still pretty!","2","","3","1561717831000","Jun 28","/DeannaRasyid/status/1144553657221779456","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AKUANAKWATAN","اکو انق ملايو جاتي","What about Arwah Adib that murdered by hindu temple  terrorist? Coz he was malay ?","1","","2","1561642756000","Jun 27","/AKUANAKWATAN/status/1144238770734039040","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@MissDahlELama","Dahlia Adler","Thanks, Adib!","","","1","1561672644000","Jun 27","/MissDahlELama/status/1144364131455262720","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@azril_adib","PEA","23 workings day left. And today will be call by supervisor. Wish me luck","","","1","1561686729000","Jun 27","/azril_adib/status/1144423207639769090","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@HANlSDANlA","𝖍𝖆𝖓𝖎𝖘 𝖉𝖆𝖓𝖎𝖆","adib sape","","","3","1561802975000","Jun 29","/HANlSDANlA/status/1144910779352662016","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@pimalibrary","Pima County Public Library","Darius the Great is Not Okay by Adib Khorram is the first thing that comes to mind for this. A journey, yes, but mostly self-discovery. #askalibrarian","","1","2","1561652738000","Jun 27","/pimalibrary/status/1144280638452748288","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@vi_monappa","Vidya Monappa","Thanks a lot Adib ","","","4","1561816402000","Jun 29","/vi_monappa/status/1144967096612245504","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AMubeen_Path","Aysha Mubeen","Thank you Adib ","","","1","1561682129000","Jun 27","/AMubeen_Path/status/1144403913438846977","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@Adib_Hanna","Adib Hanna","Pain reveals more things about you than joy does. Pain reveals true joy.","1","","3","1561582481000","Jun 26","/Adib_Hanna/status/1143985957550428160","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@adib_pc","have you","Sorry","","","1","1561741196000","Jun 28","/adib_pc/status/1144651657789050880","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@AndrewFeeney","Andrew Feeney","Pain reveals source of joy","","","2","1561591576000","Jun 26","/AndrewFeeney/status/1144024106750230529","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@tralimiguel","Carlos Miguel Ruiz","Very pleased to be your twitter-friend Adib...I hope one day we can meet in real life #mottirl ","1","1","8","1561755048000","Jun 28","/tralimiguel/status/1144709756835258368","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@PathologySayah","Maryam Sayah, MD","Great ! Thank you Adib!","","","2","1561842428000","Jun 29","/PathologySayah/status/1145076257274470400","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@svrc","Zombie Disco Stu Charlton","It wasn’t recorded, but we can give it to customers as demand occurs.  Btw my colleague Adib is coming to FGL in Calgary next week I think.  Some activity with your parent company is driving this.","","","2","1561741877000","Jun 28","/svrc/status/1144654514731081731","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@thetruenet","thetruenet","Former firemen already judged rioters guilty of Adib’s death. https://www.thetruenet.com/debunked/ex-firemen-want-independent-lawyers-not-from-agc-for-adib-inque/ … via @TheTrueNet
#thetruenet #NewsCurator #news #truenews #instanews #Socialmedia #Malaysia #reporting #contents #viral #media #facts #wearenews #public #people #justice #AdibKassim #Inquest","","2","1","1561804085000","Jun 29","/thetruenet/status/1144915433599803392","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
"@tokceh","zakaria ahmad","Mural of slain firefighter Adib defaced by vandals ","","","","1561801316000","Jun 29","/tokceh/status/1144903818435538944","https://twitter.com/search?q=(adib)%20since%3A2018-11-28%20until%3A2019-06-30&src=typed_query"
