"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@theCHSpiritClub","CHS Spirit Club","We unitedly voted 2 give ALL of our CLAY t-shirt profits to a Houston High School @HoustonISD #HurricaneHarvery #HarveyStrong @SouthBendCSC","","18","42","1504838612000","7 Sep 2017","/theCHSpiritClub/status/905984920530681857","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@LANIER_HERD","The HERD","Don't forget to bring out your canned food items to the tailgate tomorrow in order to support #HurricaneHarvery victims","","15","14","1504832590000","7 Sep 2017","/LANIER_HERD/status/905959666194272258","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@ChargePlaceScot","ChargePlace Scotland","Want to give #EV a try? Test drives available at these events  #tryelectric #Livingston #Cumbernauld https://twitter.com/HES_SouthEast/status/905439198303399936 …","","8","9","1504785603000","7 Sep 2017","/ChargePlaceScot/status/905762584418295808","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@nsbernstein","Neil S. Bernstein","To hire Staci http://Facebook.com/baitshop99  #model #modeling #modelingagency #Livingston #newjersey… https://www.instagram.com/p/BYuHGjyF-E_/ ","","15","16","1504745815000","6 Sep 2017","/nsbernstein/status/905595703220736002","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@NJSP","NJSP - State Police","Today the troops led a convoy of trucks carrying humanitarian aid destined for #HurricaneHarvery relief efforts. https://www.facebook.com/NewJerseyStatePolice/posts/1419120158142522 …","9","57","319","1504742498000","6 Sep 2017","/NJSP/status/905581790299029504","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@dalllyy23","dallas","Organizing some stuff to send to people in Texas!! #HurricaneHarvery ","3","4","40","1504737074000","6 Sep 2017","/dalllyy23/status/905559039173582848","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@YourdailyKitsch","yourdailyKitsch","Taylor with some #HurricaneHarvery rescue dogs on @LiveKellyRyan #taylorkitsch #AmericanAssassin","","8","41","1504704919000","6 Sep 2017","/YourdailyKitsch/status/905424174860181504","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@RachelBurch2","ℜ𝔞𝔠𝔥𝔢𝔩 𝔅𝔲𝔯𝔠𝔥","Mossy heaven, Burrator woods 2013 #Dartmoor #Devon #woodlands ","","9","34","1504639800000","5 Sep 2017","/RachelBurch2/status/905151043285258240","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@humanityfirstuk","Humanity First UK/Int'l","Well done @MuslimYouthUSA @HFUSA for your dedication to serve #HurricaneHarvery ","","32","41","1504561033000","4 Sep 2017","/humanityfirstuk/status/904820670403661829","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@BettieCrossTV","Bettie Cross","In the wake of #HurricaneHarvery @austinpetsalive is receiving a record amount of physical donations. Money and volunteers needed now. – at Austin Pets Alive! Headquarters","4","91","142","1504544887000","4 Sep 2017","/BettieCrossTV/status/904752951515914240","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@brokehorrorfan","Broke Horror Fan","Genre favorite @WilliCaroline & photographer @jeremysaffer release autographed #HurricaneHarvery benefit print: http://brokehorrorfan.com/post/165124996038/genre-favorite-caroline-williams-the-texas …","1","7","20","1504901435000","8 Sep 2017","/brokehorrorfan/status/906248420561694727","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@RockTheBoatAle","RockTheBoat Brewery","10kg green hops picked Thurs, Stocks Farm Worcester, brewed Friday #britishhops #realale #liverpool #crosby ","1","3","21","1504888808000","8 Sep 2017","/RockTheBoatAle/status/906195461320695809","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@whhscheersquad","WalnutHillsCheer","V.cheerleader: coach can I miss practice to help in Houston 
Coach: when & where you need our donations? #HurricaneHarvery @walnutathletics","","4","11","1504801583000","7 Sep 2017","/whhscheersquad/status/905829612005052416","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@calebconnellTHD","Caleb Connell","Look at that armada of relief vans! Houston, here we come! #Okies4Texas #SWBest #HurricaneHarvery #teamdepot pic.twitter.com/vrjauEdqQP","","11","54","1504791715000","7 Sep 2017","/calebconnellTHD/status/905788220595634176","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@Bex_Cartwright","Bex","Argent & Sable moth larva @RSPBCoombes. The larvae spin a tent in the leaves of the foodplant, here, birch. #RSPBEcology #woodlands ","2","6","15","1504732229000","6 Sep 2017","/Bex_Cartwright/status/905538720270561282","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@MerseyPolice","Merseyside Police","We have joined @MerseyFire to provide advice on how to prevent arson following a number of incidents in #Crosby https://goo.gl/eGHDxG ","","13","15","1504625778000","5 Sep 2017","/MerseyPolice/status/905092231996035072","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@penguinshistory","Penguins History","Sidney #Crosby RBK ad, September 2006. ","1","7","27","1504565820000","4 Sep 2017","/penguinshistory/status/904840749681786880","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@DebErupts","Deborah",".@TomiLahren Out of touch with reality, as usual. ""Looters"" are many times paramedics, tourists and stranded individuals. #HurricaneHarvery","9","1","22","1504547840000","4 Sep 2017","/DebErupts/status/904765337371000832","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@realBradStaggs","Brad Staggs on Mojo 5-0","More devastation and heartbreak in #Baytown #WhatILearnedToday Plz donate to @Mercury1Charity to help","","5","15","1504541129000","4 Sep 2017","/realBradStaggs/status/904737187861860352","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@RepBarbie88","Republican Barbie® 🇺🇸 ⚾️","Sorry libs but #HurricaneHarvery isn't a social experiment!! Now is not the time to ask these people how they feel about the president ","5","25","66","1504538504000","4 Sep 2017","/RepBarbie88/status/904726176924663808","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@TheRitaGarcia","Rita Garcia","UPDATE: Families who live near the @Arkema_Inc in #Crosby are returning home now that evacuation orders have been lifted. #Fox26","","7","18","1504524282000","4 Sep 2017","/TheRitaGarcia/status/904666524669009920","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@tinydancerKQ","Kelli Quinn","This makes my heart so full. Love seeing the outpouring of compassion. Let's continue to help our friends affected by #HurricaneHarvery ","7","9","52","1504462526000","3 Sep 2017","/tinydancerKQ/status/904407505022935041","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@Johparkk","John Park","Bring it on Irma. #HurricaneIrma #HurricaneHarvery ","2","7","37","1504461831000","3 Sep 2017","/Johparkk/status/904404589918785536","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@SoniaReports","Sonia Gutierrez","Kayla's labor was induced after having to walk through neck high waters. Baby's name is Noah  #Harvey #HurricaneHarvery #khou11","8","67","318","1504409219000","2 Sep 2017","/SoniaReports/status/904183915543486465","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@BoDerekPetCare","Bo Derek Pet Care","@BoDerekPetCare is so proud to sponsor @Recovery_Ranch as they leave for Texas to help #HurricaneHarvery relief. #boknows #itsbathtime","5","20","81","1504405645000","2 Sep 2017","/BoDerekPetCare/status/904168928301088768","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@JohnRMoffitt","John Moffitt","Interesting that of 9 containers of liquid organic peroxide, only 3 have exploded! Lot of booms to go.

#Crosby
#Harvey 
@sentrasaurus https://twitter.com/davidsirota/status/903791976809627648 …","1","27","22","1504402395000","2 Sep 2017","/JohnRMoffitt/status/904155296716791808","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@SimoneDeGolden","Simone Golden","@wlgolden We got the puppy today   @oakridgeboys  @MuttNation Thank you @mirandalambert @DB102681 Y'all rock!!! #HurricaneHarvery ","15","34","173","1504395757000","2 Sep 2017","/SimoneDeGolden/status/904127452305346561","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@BrettDrewittPGA","Brett Drewitt","Thinking about everyone affected by #HurricaneHarvery & inspired by @PGATOUR I'm donating 10% of my winnings through @WebDotComTour finals","2","3","30","1504388253000","2 Sep 2017","/BrettDrewittPGA/status/904095978243928064","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@TrevorScottATX","Trevor Scott","Everybody meet Julie!! She's our new @austinpetsalive foster  She's fitting right in with the pack! #AdoptDontShop #HurricaneHarvery ","2","5","44","1504381579000","2 Sep 2017","/TrevorScottATX/status/904067985907884032","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@seriouslyhallie","hallie.","#HurricaneHarvery stickers are officially for sale! 100% of proceeds to the animals. pls read description! thank you http://www.seriouslyhallie.com/harveyanimals/ ","5","70","63","1504373477000","2 Sep 2017","/seriouslyhallie/status/904034005623996416","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@smerconish","Michael Smerconish","Let me tell you some good news about #HurricaneHarvery @CNN @cnni in 5 minutes - let's celebrate good deeds!!","63","15","142","1504356867000","2 Sep 2017","/smerconish/status/903964336066056193","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@obianuju","Obianuju Ekeocha","People actually died in #HurricaneHarvery and here abortion advocates create an emergency fund to make sure no unborn baby's life is spared ","44","183","304","1504343609000","2 Sep 2017","/obianuju/status/903908730340769792","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@RickyRebelRocks","Ricky Rebel","Great show at @MoreysPiers. We raised a lot of money for #HurricaneHarvery. Thanks to @TobiasSound @crimsontgs_bob for putting it together.","3","14","31","1504330460000","1 Sep 2017","/RickyRebelRocks/status/903853579089440768","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@GoMountVernon","Mount Vernon Cheer","Mount Vernon's Freedom Friday routine paying tribute to America and #HurricaneHarvery victims.
Together we are #TexasStrong & American Proud","","11","34","1504327237000","1 Sep 2017","/GoMountVernon/status/903840059580747776","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
